corr_values;ROI_hemi_condition;ROI;hemi;condition;ID
-0,047760505;rpFusG_nR;pFusG;r;nR;13
0,070597498;rpFusG_nR;pFusG;r;nR;14
0,147845639;rpFusG_nR;pFusG;r;nR;15
0,058592744;rpFusG_nR;pFusG;r;nR;16
0,106768985;rpFusG_nR;pFusG;r;nR;17
0,175856395;rpFusG_nR;pFusG;r;nR;18
0,310994076;rpFusG_nR;pFusG;r;nR;19
0,04067223;rpFusG_nR;pFusG;r;nR;20
0,074243364;rpFusG_nR;pFusG;r;nR;21
0,213451539;rpFusG_nR;pFusG;r;nR;22
0,02467128;rpFusG_nR;pFusG;r;nR;23
0,25830895;rpFusG_nR;pFusG;r;nR;24
0,086308313;rpFusG_nR;pFusG;r;nR;25
0,35627029;rpFusG_nR;pFusG;r;nR;26
0,115166421;rpFusG_nR;pFusG;r;nR;27
0,247891737;rpFusG_nR;pFusG;r;nR;28
NA;rpFusG_nR;pFusG;r;nR;29
-0,017570356;rpFusG_nR;pFusG;r;nR;30
0,253256878;rpFusG_nR;pFusG;r;nR;31
-0,053932997;rpFusG_nR;pFusG;r;nR;32
